Unnamed: 0,datetime,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal,gal_filter
441,2025-03-30 21:33:04.672682,2025-03-30 21:33:04.672682,2025.0,3.0,30.0,21.0,33.0,4.0,41.40625,13.71875,443.8,1307.94
442,2025-03-30 21:33:19.672120,2025-03-30 21:33:19.672120,2025.0,3.0,30.0,21.0,33.0,19.0,39.83375,15.291250000000003,506.37,1307.94
443,2025-03-30 21:33:34.672170,2025-03-30 21:33:34.672170,2025.0,3.0,30.0,21.0,33.0,34.0,38.28125,16.84375,568.15,1307.94
444,2025-03-30 21:33:49.672248,2025-03-30 21:33:49.672248,2025.0,3.0,30.0,21.0,33.0,49.0,38.715,16.410000000000004,550.89,1307.94
445,2025-03-30 21:34:04.672127,2025-03-30 21:34:04.672127,2025.0,3.0,30.0,21.0,34.0,4.0,37.9525,17.1725,581.23,1307.94
446,2025-03-30 21:34:19.671791,2025-03-30 21:34:19.671791,2025.0,3.0,30.0,21.0,34.0,19.0,67.01625,0.0,0.0,1307.94
447,2025-03-30 21:34:34.672274,2025-03-30 21:34:34.672274,2025.0,3.0,30.0,21.0,34.0,34.0,15.8575,36.5,1350.32,1307.94
448,2025-03-30 21:34:49.672176,2025-03-30 21:34:49.672176,2025.0,3.0,30.0,21.0,34.0,49.0,37.65375,17.471249999999998,593.12,1307.94
449,2025-03-30 21:35:04.672295,2025-03-30 21:35:04.672295,2025.0,3.0,30.0,21.0,35.0,4.0,19.7475,35.3775,1305.65,1307.94
450,2025-03-30 21:35:19.672175,2025-03-30 21:35:19.672175,2025.0,3.0,30.0,21.0,35.0,19.0,19.7125,35.4125,1307.04,1307.94
451,2025-03-30 21:35:34.672436,2025-03-30 21:35:34.672436,2025.0,3.0,30.0,21.0,35.0,34.0,19.69,35.435,1307.94,1307.94
452,2025-03-30 21:35:49.672194,2025-03-30 21:35:49.672194,2025.0,3.0,30.0,21.0,35.0,49.0,19.7375,35.3875,1306.05,1307.94
453,2025-03-30 21:36:04.672162,2025-03-30 21:36:04.672162,2025.0,3.0,30.0,21.0,36.0,4.0,19.685,35.44,1308.14,1307.94
454,2025-03-30 21:36:19.672105,2025-03-30 21:36:19.672105,2025.0,3.0,30.0,21.0,36.0,19.0,19.7275,35.3975,1306.45,1307.94
455,2025-03-30 21:36:34.672350,2025-03-30 21:36:34.672350,2025.0,3.0,30.0,21.0,36.0,34.0,19.69,35.435,1307.94,1307.94
456,2025-03-30 21:36:49.672314,2025-03-30 21:36:49.672314,2025.0,3.0,30.0,21.0,36.0,49.0,19.68,35.445,1308.34,1307.94
457,2025-03-30 21:37:04.672378,2025-03-30 21:37:04.672378,2025.0,3.0,30.0,21.0,37.0,4.0,19.70375,35.42125,1307.39,1307.94
458,2025-03-30 21:37:19.672160,2025-03-30 21:37:19.672160,2025.0,3.0,30.0,21.0,37.0,19.0,19.675,35.45,1308.54,1307.94
459,2025-03-30 21:37:34.671816,2025-03-30 21:37:34.671816,2025.0,3.0,30.0,21.0,37.0,34.0,19.70375,35.42125,1307.39,1307.94
460,2025-03-30 21:37:49.672046,2025-03-30 21:37:49.672046,2025.0,3.0,30.0,21.0,37.0,49.0,19.70375,35.42125,1307.39,1307.94
461,2025-03-30 21:38:04.672177,2025-03-30 21:38:04.672177,2025.0,3.0,30.0,21.0,38.0,4.0,19.71375,35.411249999999995,1306.99,1307.94
462,2025-03-30 21:38:19.672338,2025-03-30 21:38:19.672338,2025.0,3.0,30.0,21.0,38.0,19.0,19.685,35.44,1308.14,1307.94
463,2025-03-30 21:38:34.672614,2025-03-30 21:38:34.672614,2025.0,3.0,30.0,21.0,38.0,34.0,19.68,35.445,1308.34,1307.94
464,2025-03-30 21:38:49.672171,2025-03-30 21:38:49.672171,2025.0,3.0,30.0,21.0,38.0,49.0,19.70375,35.42125,1307.39,1307.94
465,2025-03-30 21:39:04.673351,2025-03-30 21:39:04.673351,2025.0,3.0,30.0,21.0,39.0,4.0,19.69875,35.42625,1307.59,1307.94
466,2025-03-30 21:39:19.672207,2025-03-30 21:39:19.672207,2025.0,3.0,30.0,21.0,39.0,19.0,19.71375,35.411249999999995,1306.99,1307.94
467,2025-03-30 21:39:34.672013,2025-03-30 21:39:34.672013,2025.0,3.0,30.0,21.0,39.0,34.0,19.70875,35.41625,1307.19,1307.94
468,2025-03-30 21:39:49.672256,2025-03-30 21:39:49.672256,2025.0,3.0,30.0,21.0,39.0,49.0,19.71375,35.411249999999995,1306.99,1307.94
469,2025-03-30 21:40:04.672411,2025-03-30 21:40:04.672411,2025.0,3.0,30.0,21.0,40.0,4.0,19.68875,35.43625,1307.99,1307.94
470,2025-03-30 21:40:19.672843,2025-03-30 21:40:19.672843,2025.0,3.0,30.0,21.0,40.0,19.0,19.722500000000004,35.4025,1306.65,1307.94
471,2025-03-30 21:40:34.672783,2025-03-30 21:40:34.672783,2025.0,3.0,30.0,21.0,40.0,34.0,19.69,35.435,1307.94,1307.94
472,2025-03-30 21:40:49.672739,2025-03-30 21:40:49.672739,2025.0,3.0,30.0,21.0,40.0,49.0,19.70375,35.42125,1307.39,1307.94
473,2025-03-30 21:41:04.672800,2025-03-30 21:41:04.672800,2025.0,3.0,30.0,21.0,41.0,4.0,19.7375,35.3875,1306.05,1307.94
474,2025-03-30 21:41:19.672748,2025-03-30 21:41:19.672748,2025.0,3.0,30.0,21.0,41.0,19.0,19.7375,35.3875,1306.05,1307.94
475,2025-03-30 21:41:34.672757,2025-03-30 21:41:34.672757,2025.0,3.0,30.0,21.0,41.0,34.0,19.69375,35.43125,1307.79,1307.94
476,2025-03-30 21:41:49.672742,2025-03-30 21:41:49.672742,2025.0,3.0,30.0,21.0,41.0,49.0,19.70375,35.42125,1307.39,1307.94
